commodity_name,state,district,market,min_price,max_price,modal_price,date,certifications,storage type,export_potential,production_quantity,quality_grade
Ajwan,Gujarat,Amreli,Amreli,63.25,79.55,79.55,22-05-2019,CERTIFIED,Dry Storage,Moderate,78268,Grade A
Ajwan,Gujarat,Banaskanth,Dhanera,80.05,80.05,80.05,22-05-2019,CERTIFIED,Dry Storage,Moderate,78268,Grade A
Ajwan,Gujarat,Jamnagar,Jamnagar,90,155,122.5,22-05-2019,NON-GMO,Dry Storage,Moderate,78268,Grade A
Ajwan,Gujarat,Mehsana,Kadi,94.5,112.5,107,22-05-2019,CERTIFIED,Dry Storage,Moderate,78268,Grade A
Ajwan,Gujarat,Mehsana,Unjha,21.25,148.5,99.75,22-05-2019,CERTIFIED,Dry Storage,Moderate,78268,Grade A
Ajwan,Madhya Pradesh,Neemuch,Neemuch,80,132,95,22-05-2019,NON-GMO,Dry Storage,Moderate,78268,Grade A
Ajwan,Rajasthan,Chittorgarh,Nimbahera,9.77,9.95,9.8,22-05-2019,GMO,Dry Storage,Moderate,78268,Grade A
Ajwan,Rajasthan,Chittorgarh,Pratapgarh,100.5,120.9,110.7,22-05-2019,NON-GMO,Dry Storage,Moderate,78268,Grade A
Alasande+Gram,Karnataka,Bagalkot,Bagalakot,46.01,46.5,46.46,22-05-2019,CERTIFIED,Warehouse,Seasonal,52613,Grade B
Alasande+Gram,Karnataka,Bangalore,Bangalore,48,53,50.5,22-05-2019,GMO,Warehouse,Seasonal,52613,Grade B
Alasande+Gram,Karnataka,Gadag,Laxmeshwar,22.15,46.41,36.54,22-05-2019,CERTIFIED,Warehouse,Seasonal,52613,Grade B
Alasande+Gram,Madhya Pradesh,Panna,Ajaygarh,41,46.2,42,22-05-2019,NON-GMO,Warehouse,Emerging Markets,52613,Grade B
Amaranthus,Kerala,Ernakulam,Aluva,20,30,25,22-05-2019,ORGANIC,Dry Storage,Low,51993,Premium
Amaranthus,Kerala,Kollam,Anchal,21,23,22,22-05-2019,GMO,Dry Storage,Low,51993,Premium
Amaranthus,Kerala,Ernakulam,Angamaly,20,26,23,22-05-2019,CERTIFIED,Dry Storage,Low,51993,Premium
Amaranthus,Kerala,Thiruvananthapuram,Attingal,20,20,20,22-05-2019,GMO,Dry Storage,Low,51993,Premium
Amaranthus,Kerala,Thiruvananthapuram,Chala,27,27.52,27.28,22-05-2019,CERTIFIED,Dry Storage,Low,51993,Premium
Amaranthus,Kerala,Thirssur,Chelakkara,20,22,21,22-05-2019,CERTIFIED,Dry Storage,Low,51993,Premium
Amaranthus,Kerala,Alappuzha,Cherthala,35,36,35.5,22-05-2019,NON-GMO,Dry Storage,Low,51993,Premium
Amaranthus,Kerala,Alappuzha,Harippad,35,40,40,22-05-2019,CERTIFIED,Dry Storage,Low,51993,Premium
Amaranthus,Kerala,Kozhikode(Calicut),Kallachi,22,26,24,22-05-2019,CERTIFIED,Dry Storage,Low,51993,Premium
Amaranthus,Kerala,Kasargod,Kanjangadu,25,33,30,22-05-2019,ORGANIC,Dry Storage,Low,51993,Premium
Amaranthus,Kerala,Alappuzha,Kayamkulam,36,38,37,22-05-2019,CERTIFIED,Dry Storage,Low,51993,Premium
Amaranthus,Kerala,Palakad,Koduvayoor,30,38,34,22-05-2019,GMO,Dry Storage,Low,51993,Premium
Amaranthus,Kerala,Malappuram,Kondotty,19,21,20,22-05-2019,CERTIFIED,Dry Storage,Low,51993,Premium
Amaranthus,Kerala,Ernakulam,Kothamangalam,20,25,22,22-05-2019,ORGANIC,Dry Storage,Low,51993,Premium
Amaranthus,Kerala,Malappuram,Kottakkal,16.5,18.5,17,22-05-2019,NON-GMO,Dry Storage,Low,51993,Premium
Amaranthus,Kerala,Pathanamthitta,Kuttoor,19,24,22,22-05-2019,GMO,Dry Storage,Low,51993,Premium
Amaranthus,Kerala,Alappuzha,Madhavapuram,24,26,25,22-05-2019,ORGANIC,Dry Storage,Low,51993,Premium
Amaranthus,Kerala,Malappuram,Manjeri,11,12,11.5,22-05-2019,CERTIFIED,Dry Storage,Low,51993,Premium
Amaranthus,Kerala,Kasargod,Manjeswaram,30,40,35,22-05-2019,CERTIFIED,Dry Storage,Low,51993,Premium
Amaranthus,Kerala,Kozhikode(Calicut),Mukkom,14,18,16,22-05-2019,NON-GMO,Dry Storage,Low,51993,Premium
Amla(Nelli+Kai),Kerala,Malappuram,Kondotty,50,52,51,22-05-2019,NON-GMO,Warehouse,Seasonal,90471,Grade B
Amla(Nelli+Kai),Kerala,Malappuram,Kottakkal,40,41.4,41,22-05-2019,GMO,Warehouse,Seasonal,90471,Grade B
Amla(Nelli+Kai),Madhya Pradesh,Neemuch,Neemuch,124,124,124,22-05-2019,ORGANIC,Warehouse,Emerging Markets,90471,Grade B
Amla(Nelli+Kai),Punjab,Sangrur,Lehra Gaga,6,6,6,22-05-2019,CERTIFIED,Warehouse,Seasonal,90471,Grade B
